date,p23_count,gr_topn_count,overlap,overlap_pct,p23_only_count,gr_only_count
2025-05-02,10,10,3,30.0,7,7
2025-05-05,7,7,0,0.0,7,7
2025-05-06,13,13,2,15.4,11,11
2025-05-07,11,11,3,27.3,8,8
2025-05-08,20,20,4,20.0,16,16
2025-05-09,17,17,3,17.6,14,14
2025-05-12,19,19,5,26.3,14,14
2025-05-13,18,18,5,27.8,13,13
2025-05-14,11,11,2,18.2,9,9
2025-05-15,10,10,2,20.0,8,8
2025-05-16,11,11,1,9.1,10,10
2025-05-19,6,6,2,33.3,4,4
2025-05-20,18,18,5,27.8,13,13
2025-05-21,7,7,0,0.0,7,7
2025-05-22,7,7,1,14.3,6,6
2025-05-23,9,9,1,11.1,8,8
2025-05-27,6,6,0,0.0,6,6
2025-05-28,11,11,3,27.3,8,8
2025-05-29,14,14,2,14.3,12,12
2025-05-30,9,9,4,44.4,5,5
2025-06-02,12,12,2,16.7,10,10
2025-06-03,10,10,0,0.0,10,10
2025-06-04,8,8,2,25.0,6,6
2025-06-05,9,9,2,22.2,7,7
2025-06-06,9,9,1,11.1,8,8
2025-06-09,20,20,4,20.0,16,16
2025-06-10,10,10,3,30.0,7,7
2025-06-11,16,16,5,31.2,11,11
2025-06-12,12,12,4,33.3,8,8
2025-06-13,17,17,5,29.4,12,12
2025-06-16,17,17,9,52.9,8,8
2025-06-17,9,9,3,33.3,6,6
2025-06-18,12,12,4,33.3,8,8
2025-06-20,13,13,4,30.8,9,9
2025-06-23,11,11,3,27.3,8,8
2025-06-24,7,7,2,28.6,5,5
2025-06-25,16,16,5,31.2,11,11
2025-06-26,14,14,5,35.7,9,9
2025-06-27,9,9,3,33.3,6,6
2025-06-30,11,11,3,27.3,8,8
2025-07-01,12,12,4,33.3,8,8
2025-07-02,9,9,3,33.3,6,6
2025-07-03,8,8,1,12.5,7,7
2025-07-07,13,13,6,46.2,7,7
2025-07-08,18,18,6,33.3,12,12
2025-07-09,15,15,5,33.3,10,10
2025-07-10,15,15,5,33.3,10,10
2025-07-11,13,13,4,30.8,9,9
2025-07-14,11,11,4,36.4,7,7
2025-07-15,11,11,3,27.3,8,8
2025-07-16,10,10,2,20.0,8,8
2025-07-17,19,19,6,31.6,13,13
2025-07-18,12,12,2,16.7,10,10
2025-07-21,17,17,4,23.5,13,13
2025-07-22,12,12,4,33.3,8,8
2025-07-23,10,10,4,40.0,6,6
2025-07-24,7,7,3,42.9,4,4
2025-07-25,11,11,1,9.1,10,10
2025-07-28,18,18,7,38.9,11,11
2025-07-29,6,6,1,16.7,5,5
2025-07-30,7,7,2,28.6,5,5
2025-07-31,10,10,2,20.0,8,8
2025-08-01,6,6,1,16.7,5,5
2025-08-04,13,13,3,23.1,10,10
2025-08-05,13,13,1,7.7,12,12
2025-08-06,22,22,6,27.3,16,16
2025-08-07,27,27,7,25.9,20,20
2025-08-08,18,18,2,11.1,16,16
2025-08-11,22,22,6,27.3,16,16
2025-08-12,19,19,3,15.8,16,16
2025-08-13,9,9,3,33.3,6,6
2025-08-14,11,11,4,36.4,7,7
2025-08-15,11,11,2,18.2,9,9
2025-08-18,11,11,2,18.2,9,9
2025-08-19,7,7,2,28.6,5,5
2025-08-20,5,5,1,20.0,4,4
2025-08-21,6,6,0,0.0,6,6
2025-08-22,8,8,2,25.0,6,6
2025-08-25,4,4,1,25.0,3,3
2025-08-26,10,10,3,30.0,7,7
2025-08-27,11,11,5,45.5,6,6
2025-08-28,9,9,1,11.1,8,8
2025-08-29,7,7,2,28.6,5,5
2025-09-02,6,6,2,33.3,4,4
2025-09-03,12,12,3,25.0,9,9
2025-09-04,9,9,5,55.6,4,4
2025-09-05,5,5,2,40.0,3,3
2025-09-08,14,14,6,42.9,8,8
2025-09-09,9,9,5,55.6,4,4
2025-09-10,15,15,6,40.0,9,9
2025-09-11,15,15,6,40.0,9,9
2025-09-12,14,14,4,28.6,10,10
2025-09-15,15,15,6,40.0,9,9
2025-09-16,9,9,4,44.4,5,5
2025-09-17,12,12,2,16.7,10,10
2025-09-18,7,7,2,28.6,5,5
2025-09-19,16,16,6,37.5,10,10
2025-09-22,13,13,6,46.2,7,7
2025-09-23,15,15,5,33.3,10,10
2025-09-24,11,11,1,9.1,10,10
2025-09-25,6,6,0,0.0,6,6
2025-09-26,10,10,4,40.0,6,6
2025-09-29,23,23,7,30.4,16,16
2025-09-30,11,11,2,18.2,9,9
2025-10-01,11,11,3,27.3,8,8
2025-10-02,8,8,1,12.5,7,7
2025-10-03,11,11,2,18.2,9,9
2025-10-06,14,14,4,28.6,10,10
2025-10-07,18,18,5,27.8,13,13
2025-10-08,15,15,6,40.0,9,9
2025-10-09,19,19,5,26.3,14,14
2025-10-10,13,13,3,23.1,10,10
2025-10-13,17,17,3,17.6,14,14
2025-10-14,22,22,8,36.4,14,14
2025-10-15,18,18,2,11.1,16,16
2025-10-16,17,17,6,35.3,11,11
2025-10-17,7,7,1,14.3,6,6
2025-10-20,11,11,2,18.2,9,9
2025-10-21,9,9,3,33.3,6,6
2025-10-22,8,8,2,25.0,6,6
2025-10-23,10,10,0,0.0,10,10
2025-10-24,7,7,2,28.6,5,5
2025-10-27,17,17,7,41.2,10,10
2025-10-28,10,10,3,30.0,7,7
2025-10-29,9,9,1,11.1,8,8
2025-10-30,12,12,4,33.3,8,8
2025-10-31,12,12,3,25.0,9,9
2025-11-03,13,13,3,23.1,10,10
2025-11-04,4,4,0,0.0,4,4
2025-11-05,10,10,1,10.0,9,9
2025-11-06,9,9,0,0.0,9,9
2025-11-07,8,8,0,0.0,8,8
2025-11-10,11,11,3,27.3,8,8
2025-11-11,11,11,1,9.1,10,10
2025-11-12,10,10,1,10.0,9,9
2025-11-13,9,9,3,33.3,6,6
2025-11-14,6,6,0,0.0,6,6
2025-11-17,8,8,0,0.0,8,8
2025-11-18,9,9,3,33.3,6,6
2025-11-19,6,6,1,16.7,5,5
2025-11-20,9,9,2,22.2,7,7
2025-11-21,4,4,0,0.0,4,4
2025-11-24,11,11,1,9.1,10,10
2025-11-25,5,5,1,20.0,4,4
2025-11-26,5,5,1,20.0,4,4
2025-11-28,5,5,0,0.0,5,5
2025-12-01,6,6,3,50.0,3,3
2025-12-02,6,6,2,33.3,4,4
2025-12-03,8,8,1,12.5,7,7
2025-12-04,6,6,0,0.0,6,6
2025-12-05,7,7,0,0.0,7,7
2025-12-08,18,18,7,38.9,11,11
2025-12-09,8,8,1,12.5,7,7
2025-12-10,16,16,4,25.0,12,12
2025-12-11,16,16,5,31.2,11,11
2025-12-12,27,27,5,18.5,22,22
2025-12-15,10,10,4,40.0,6,6
2025-12-16,12,12,2,16.7,10,10
2025-12-17,9,9,0,0.0,9,9
2025-12-18,11,11,2,18.2,9,9
2025-12-19,8,8,2,25.0,6,6
2025-12-22,13,13,3,23.1,10,10
2025-12-23,7,7,1,14.3,6,6
2025-12-24,4,4,0,0.0,4,4
2025-12-26,6,6,1,16.7,5,5
2025-12-29,7,7,3,42.9,4,4
2025-12-30,9,9,3,33.3,6,6
2025-12-31,9,9,2,22.2,7,7
2026-01-02,8,8,3,37.5,5,5
2026-01-05,22,22,5,22.7,17,17
2026-01-06,12,12,3,25.0,9,9
2026-01-07,11,11,0,0.0,11,11
2026-01-08,13,13,4,30.8,9,9
2026-01-09,16,16,5,31.2,11,11
2026-01-12,16,16,3,18.8,13,13
2026-01-13,11,11,5,45.5,6,6
2026-01-14,10,10,2,20.0,8,8
2026-01-15,14,14,5,35.7,9,9
2026-01-16,10,10,4,40.0,6,6
2026-01-20,18,18,8,44.4,10,10
2026-01-21,10,10,1,10.0,9,9
2026-01-22,9,9,2,22.2,7,7
2026-01-23,12,12,4,33.3,8,8
2026-01-26,22,22,5,22.7,17,17
2026-01-27,15,15,3,20.0,12,12
2026-01-28,13,13,0,0.0,13,13
2026-01-29,17,17,1,5.9,16,16
2026-01-30,12,12,5,41.7,7,7
