symbol,event_time_et,event_time_utc,event_type,open,close,pct_move_1m,pct_move_3m,rel_vol_30d,prev_close,price_929,day_gain_pct_929plus,day_gain_pct_event,float_shares,float_lt_20m,pillar_day_gain_10pct,pillar_rel_vol_5x,pillar_score,news_has_catalyst,news_article_count,news_specific_count
ACET,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,0.92,0.92,0.0,3.0927835051546504,0.17465511808880985,0.9142,0.9193,0.5578647998249808,0.6344344782323263,9580000,True,False,False,1,,,
CPSS,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,8.15,8.36,2.5766871165644023,3.850931677018621,,7.87,7.87,0.0,6.226175349428198,22070000,False,False,False,0,,,
DGXX,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,2.86,2.8826,0.790209790209806,3.318996415770603,2.015873224215855,2.64,2.725,3.2196969696969724,9.18939393939393,69450000,False,False,False,0,,,
DRCT,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,0.3457,0.349,0.954584900202482,5.4380664652567745,8.884018828982843,0.3555,0.3201,-9.95780590717299,-1.828410689170179,1440000,True,False,True,2,,,
MRAL,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,31.9739,32.53,1.7392310603335792,4.430176565008037,2.5918630577682205,27.9712,29.34,4.893604850703581,16.298192426495838,,,False,False,0,,,
NOAH,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,11.9,11.95,0.42016806722688926,3.463203463203457,0.11876923490437985,11.86,11.55,-2.613827993254625,0.7588532883642474,33530000,False,False,False,0,,,
NUAIW,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,0.5975,0.6,0.4184100418409997,7.14285714285714,1.9601074878349916,0.55,0.63,14.545454545454529,9.090909090909083,,,True,False,1,,,
RIOX,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,49.86,50.82,1.9253910950661979,4.2675420599097125,0.7783939035548012,44.93,46.9984,4.603605608724681,13.109281103939452,,,False,False,0,,,
RSSS,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,3.6542,3.6542,0.0,3.518413597733705,0.17214710188614246,3.46,3.46,0.0,5.612716763005787,32869999,False,False,False,0,,,
UGRO,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,0.4018,0.4018,0.0,3.0256410256410238,2.2069878034401897,0.4019,0.39,-2.9609355561084794,-0.024881811395871534,680000,True,False,False,1,,,
VSA,2025-10-10T09:38:00-04:00,2025-10-10T13:38:00+00:00,gap_3m_3pct,3.09,3.25,5.177993527508096,12.068965517241391,0.23164123975571504,2.78,2.9,4.316546762589923,16.90647482014389,11230000,True,False,False,1,,,
AURE,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,1.205,1.2298,2.058091286307051,6.836938580488239,630.542487021111,,1.4,,,,,False,True,1,,,
FLUX,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,6.45,6.615,2.55813953488373,3.3593749999999867,1.6019582962443895,5.94,6.1884,4.181818181818175,11.363636363636353,24900000,False,False,False,0,,,
KLXE,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,1.93,1.93,0.0,3.7634408602150504,0.3837304331426416,1.88,1.86,-1.0638297872340274,2.659574468085113,17840000,True,False,False,1,,,
NEPH,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,5.51,5.7,3.4482758620689724,4.683195592286493,1.9142896537460574,5.4,5.5,1.8518518518518379,5.555555555555558,10630000,True,False,False,1,,,
RCMT,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,24.08,24.08,0.0,3.659061558329735,0.6680667964347915,23.89,23.23,-2.7626622017580593,0.7953118459606445,7410000,True,False,False,1,,,
RIOX,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,50.7,51.1692,0.9254437869822274,3.3443539412642664,0.7873002031412575,44.93,46.9984,4.603605608724681,13.886490095704417,,,False,False,0,,,
SPHL,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,0.598,0.619,3.511705685618738,5.2900153087259705,0.01122175740460099,0.5801,0.5976,3.016721254956045,6.705740389588,1650000,True,False,False,1,,,
ULY,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,3.4295,3.4295,0.0,3.2981927710843406,0.17242722513089007,3.28,3.35,2.1341463414634276,4.5579268292682995,2190000,True,False,False,1,,,
VSA,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,3.31,3.2898,-0.6102719033232673,7.509803921568636,0.23605523364132694,2.78,2.9,4.316546762589923,18.33812949640288,11230000,True,False,False,1,,,
WOLF,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,34.5675,35.19,1.800824473855478,3.1057720480515583,0.05976525137492359,35.42,34.0,-4.009034443817061,-0.6493506493506551,45090000,False,False,False,0,,,
ZSTK,2025-10-10T09:39:00-04:00,2025-10-10T13:39:00+00:00,gap_3m_3pct,19.3925,19.3925,0.0,3.647781934794203,0.004996381297369185,19.02,18.719,-1.5825446898002027,1.958464773922186,2410000,True,False,False,1,,,
CNTX,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,1.495,1.5199,1.665551839464885,3.8537751964468736,2.3104813334385383,1.4,1.4995,7.107142857142867,8.564285714285713,91880000,False,False,False,0,,,
FLUX,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,6.6689,6.665,-0.058480409062955374,3.3333333333333215,1.7489645342556157,5.94,6.1884,4.181818181818175,12.205387205387197,24900000,False,False,False,0,,,
INFQ,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,24.965,25.4,1.7424394151812406,3.1053379338339626,4.075364164580315,21.59,24.38,12.922649374710504,17.647058823529417,,,True,False,1,,,
JFU,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,4.43,4.49,1.3544018058690765,3.0998851894374235,10.959635416666666,4.2,4.0,-4.761904761904767,6.904761904761902,235470000,False,False,True,1,,,
MCRP,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,1.7229,1.7999,4.469208891984433,9.025380095705371,1.1745033282464865,1.81,1.6988,-6.143646408839776,-0.5580110497237611,34890000,False,False,False,0,,,
NPCE,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,11.2499,11.2499,0.0,3.78136531365314,0.21361104383627996,10.79,10.84,0.4633920296571059,4.262279888785914,33080000,False,False,False,0,,,
PMAX,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,2.71,2.75,1.4760147601476037,3.015545982393708,0.5745608755636626,2.84,2.75,-3.169014084507038,-3.169014084507038,2650000,True,False,False,1,,,
TELO,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,1.66,1.7099,3.006024096385551,3.6240227864977825,0.8158022423916085,1.93,1.8,-6.735751295336778,-11.404145077720207,34380000,False,False,False,0,,,
WOK,2025-10-10T09:40:00-04:00,2025-10-10T13:40:00+00:00,gap_3m_3pct,0.0951,0.0968,1.7875920084121866,3.9742212674543476,0.7856175764087595,0.0907,0.0959,5.733186328555684,6.725468577728777,1720000,True,False,False,1,,,
ALZN,2025-10-10T09:41:00-04:00,2025-10-10T13:41:00+00:00,gap_3m_3pct,2.2892,2.3783,3.892189411147995,8.598173515981733,7.6148595725635,2.33,2.305,-1.0729613733905574,2.072961373390547,3800000,True,False,True,2,,,
CNTX,2025-10-10T09:41:00-04:00,2025-10-10T13:41:00+00:00,gap_3m_3pct,1.52,1.55,1.9736842105263275,3.3333333333333437,3.029588976721548,1.4,1.4995,7.107142857142867,10.71428571428572,91880000,False,False,False,0,,,
JFB,2025-10-10T09:41:00-04:00,2025-10-10T13:41:00+00:00,gap_3m_3pct,14.62,14.62,0.0,4.056939501779344,0.001915187433122884,14.27,14.01,-1.8220042046250828,2.4526979677645278,10430000,True,False,False,1,,,
SUPV,2025-10-10T09:41:00-04:00,2025-10-10T13:41:00+00:00,gap_3m_3pct,6.23,6.33,1.6051364365970988,3.515944399018811,1.9318153836591205,6.34,6.0562,-4.476340694006309,-0.1577287066246047,375990000,False,False,False,0,,,
TTRX,2025-10-10T09:41:00-04:00,2025-10-10T13:41:00+00:00,gap_3m_3pct,8.4702,8.6967,2.6740808953743755,3.6468947763595327,0.04652330397888415,9.2,8.2,-10.869565217391308,-5.470652173913038,29450000,False,False,False,0,,,
ABVE,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,4.37,4.485,2.6315789473684292,3.3410138248848087,1.594351451656794,4.76,4.74,-0.42016806722687816,-5.777310924369738,51190000,False,False,False,0,,,
AMBO,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,6.0307,6.125,1.5636659094300676,3.7607995934270777,0.03929900485510364,5.75,5.28,-8.173913043478255,6.521739130434789,5240000,True,False,False,1,,,
BAIG,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,26.896,27.3829,1.8103063652587625,3.059465562664654,2.286711444973379,23.9,24.06,0.6694560669456173,14.572803347280349,,,False,False,0,,,
BRLT,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,2.27,2.27,0.0,5.4342777519739816,1.1700116261317863,2.35,2.25,-4.255319148936176,-3.404255319148941,100110000,False,False,False,0,,,
GREE,2025-10-10T09:42:00-04:00,2025-10-10T13:42:00+00:00,gap_3m_3pct,2.29,2.35,2.6200873362445476,3.070175438596512,1.6744531556141937,2.25,2.32,3.111111111111109,4.444444444444451,15800000,True,False,False,1,,,
