trade_date,symbol,run_start_time_et,run_end_time_et,run_minutes,run_gain_pct,pre_time_et,pre_open,pre_high,pre_low,pre_close,pre_volume,pre_trade_count,pre_vwap,pre_rel_vol_30d,pre_range_pct,pre_body_pct,window_5m_return_pct,window_5m_volume_sum,window_5m_green_frac
2026-01-02,NBIL,2026-01-02T09:41:00-05:00,2026-01-02T09:45:00-05:00,5,5.2599564934997955,2026-01-02T09:40:00-05:00,9.785,9.785,9.7,9.7,779,8,9.74124,0.6281893312696001,0.8686765457332738,-0.8686765457332738,1.041666666666674,28226,0.4
2026-01-02,NTRP,2026-01-02T09:38:00-05:00,2026-01-02T09:39:00-05:00,2,5.246913580246915,2026-01-02T09:37:00-05:00,3.3699,3.3699,3.3699,3.3699,401,2,3.3699,0.23579028825691623,0.0,0.0,0.0,2601,0.0
2026-01-02,NUAI,2026-01-02T10:14:00-05:00,2026-01-02T10:16:00-05:00,3,6.060606060606077,2026-01-02T10:13:00-05:00,2.7799,2.78,2.77,2.775,9337,35,2.776436,1.5237091498986994,0.3597251699701351,-0.17626533328537453,-2.934695162475087,86268,0.0
2026-01-02,NUAI,2026-01-02T10:14:00-05:00,2026-01-02T10:17:00-05:00,4,6.782106782106778,2026-01-02T10:13:00-05:00,2.7799,2.78,2.77,2.775,9337,35,2.776436,1.5237091498986994,0.3597251699701351,-0.17626533328537453,-2.934695162475087,86268,0.0
2026-01-02,NUAI,2026-01-02T10:14:00-05:00,2026-01-02T10:18:00-05:00,5,6.782106782106778,2026-01-02T10:13:00-05:00,2.7799,2.78,2.77,2.775,9337,35,2.776436,1.5237091498986994,0.3597251699701351,-0.17626533328537453,-2.934695162475087,86268,0.0
2026-01-02,NUAI,2026-01-02T10:14:00-05:00,2026-01-02T10:19:00-05:00,6,8.044733044733054,2026-01-02T10:13:00-05:00,2.7799,2.78,2.77,2.775,9337,35,2.776436,1.5237091498986994,0.3597251699701351,-0.17626533328537453,-2.934695162475087,86268,0.0
2026-01-02,NUAI,2026-01-02T10:14:00-05:00,2026-01-02T10:20:00-05:00,7,8.585858585858585,2026-01-02T10:13:00-05:00,2.7799,2.78,2.77,2.775,9337,35,2.776436,1.5237091498986994,0.3597251699701351,-0.17626533328537453,-2.934695162475087,86268,0.0
2026-01-02,NUAI,2026-01-02T10:32:00-05:00,2026-01-02T10:35:00-05:00,4,6.510851419031716,2026-01-02T10:31:00-05:00,3.01,3.015,2.995,3.0,53958,74,3.007654,1.6838673140096567,0.6644518272425255,-0.3322259136212554,0.16694490818029983,176520,0.4
2026-01-02,OPTX,2026-01-02T09:31:00-05:00,2026-01-02T09:33:00-05:00,3,5.536332179930792,2026-01-02T09:30:00-05:00,2.9,2.9,2.9,2.9,925,10,2.9,0.01677226386435581,0.0,0.0,0.34602076124565784,6589,0.2
2026-01-02,OPTX,2026-01-02T09:36:00-05:00,2026-01-02T09:37:00-05:00,2,5.743243243243246,2026-01-02T09:35:00-05:00,3.0,3.04,2.9665,2.9665,2820,24,3.016538,0.02246856882442419,2.4500000000000037,-1.1166666666666694,2.6470588235294024,41186,0.6
2026-01-02,OPTX,2026-01-02T09:36:00-05:00,2026-01-02T09:38:00-05:00,3,5.236486486486491,2026-01-02T09:35:00-05:00,3.0,3.04,2.9665,2.9665,2820,24,3.016538,0.02246856882442419,2.4500000000000037,-1.1166666666666694,2.6470588235294024,41186,0.6
2026-01-02,PAVM,2026-01-02T09:31:00-05:00,2026-01-02T09:31:00-05:00,1,8.917197452229297,2026-01-02T09:30:00-05:00,6.3,6.3,6.3,6.3,389,8,6.3,0.008071368325170324,0.0,0.0,0.0,389,0.0
2026-01-02,PCLA,2026-01-02T09:56:00-05:00,2026-01-02T09:56:00-05:00,1,5.2026811362910985,2026-01-02T09:55:00-05:00,0.3154,0.3154,0.3111,0.3133,512,3,0.31327,0.021392718004005384,1.3633481293595517,-0.6658211794546578,-0.634316523945444,61120,0.4
2026-01-02,PCLA,2026-01-02T09:56:00-05:00,2026-01-02T09:58:00-05:00,3,5.298436003830198,2026-01-02T09:55:00-05:00,0.3154,0.3154,0.3111,0.3133,512,3,0.31327,0.021392718004005384,1.3633481293595517,-0.6658211794546578,-0.634316523945444,61120,0.4
2026-01-02,PEPG,2026-01-02T09:53:00-05:00,2026-01-02T09:56:00-05:00,4,5.216095380029806,2026-01-02T09:52:00-05:00,6.7,6.71,6.7,6.7,1262,6,6.701667,0.9920492545631879,0.1492537313432804,0.0,1.6691957511380862,10374,0.4
2026-01-02,PFSA,2026-01-02T04:08:00-05:00,2026-01-02T04:08:00-05:00,1,5.432595573440646,2026-01-02T04:07:00-05:00,0.0995,0.0995,0.0995,0.0995,469,4,0.0995,,0.0,0.0,0.0,23056,0.4
2026-01-02,PFSA,2026-01-02T04:08:00-05:00,2026-01-02T04:09:00-05:00,2,7.746478873239426,2026-01-02T04:07:00-05:00,0.0995,0.0995,0.0995,0.0995,469,4,0.0995,,0.0,0.0,0.0,23056,0.4
2026-01-02,PFSA,2026-01-02T08:02:00-05:00,2026-01-02T08:02:00-05:00,1,6.398348813209487,2026-01-02T08:01:00-05:00,0.1031,0.1059,0.095,0.095,196836,286,0.101618,0.3260849697531415,10.572259941804067,-7.856450048496602,-0.1051524710830698,1185026,0.6
2026-01-02,PRZO,2026-01-02T09:20:00-05:00,2026-01-02T09:23:00-05:00,4,5.90277777777779,2026-01-02T09:19:00-05:00,0.864,0.864,0.8573,0.8619,16470,21,0.863249,,0.7754629629629676,-0.24305555555555447,-0.35838150289017046,159974,0.4
