trade_date,symbol,max_run_gain_pct,run_start_time_et,run_end_time_et,run_minutes,price_929plus,day_gain_pct_929plus,rel_vol_30d_929plus,float_shares,float_lt_20m
2026-01-20,IVF,51.004016064256994,2026-01-20T04:09:00-05:00,2026-01-20T04:11:00-05:00,3,3.345,311.7429837518464,25805.137145513716,2390000.0,True
2026-01-20,CRVS,42.50000000000001,2026-01-20T08:14:00-05:00,2026-01-20T08:16:00-05:00,3,13.59,68.8198757763975,1847.5040268926396,83770000.0,False
2026-01-20,DRCT,40.49079754601228,2026-01-20T08:13:00-05:00,2026-01-20T08:13:00-05:00,1,1.73,0.5813953488372103,0.37294846064412546,1440000.0,True
2026-01-21,PAVM,94.93150684931508,2026-01-21T08:16:00-05:00,2026-01-21T08:21:00-05:00,6,17.99,190.6300484652665,1630.0446142907927,1000000.0,True
2026-01-21,SLGB,70.00653871302742,2026-01-21T08:02:00-05:00,2026-01-21T08:03:00-05:00,2,3.58,191.0569105691057,91.09330646582139,,
2026-01-21,GCTK,50.0,2026-01-21T04:16:00-05:00,2026-01-21T04:18:00-05:00,3,3.22,-15.263157894736834,1060.4758382643,910000.0,True
2026-01-21,GITS,48.24519065021031,2026-01-21T10:00:00-05:00,2026-01-21T10:03:00-05:00,4,0.91,5.974146966344485,7.822783656787328,3670000.0,True
2026-01-21,MLEC,47.15596330275229,2026-01-21T06:47:00-05:00,2026-01-21T06:49:00-05:00,3,6.12,39.40774487471528,28.968737697146942,730000.0,True
2026-01-22,IOTR,54.46428571428572,2026-01-22T04:04:00-05:00,2026-01-22T04:11:00-05:00,8,6.55,123.54948805460748,6.1412691628547025,2570000.0,True
2026-01-22,GLXG,42.51544747857283,2026-01-22T08:10:00-05:00,2026-01-22T08:10:00-05:00,1,1.9501,-20.727642276422763,75.43357656400902,2160000.0,True
2026-01-22,SXTP,39.660056657223784,2026-01-22T07:59:00-05:00,2026-01-22T08:06:00-05:00,8,6.0499,202.495,769.8144573855534,1290000.0,True
2026-01-22,FEDU,34.80753701211305,2026-01-22T08:09:00-05:00,2026-01-22T08:09:00-05:00,1,8.35,8.723958333333325,501.6125654450262,22600000.0,False
2026-01-22,HCTI,31.72857142857144,2026-01-22T08:30:00-05:00,2026-01-22T08:34:00-05:00,5,0.6029,50.724999999999994,1009.2871039936138,10760000.0,True
2026-01-23,RVYL,83.00455235204858,2026-01-23T04:00:00-05:00,2026-01-23T04:04:00-05:00,5,7.31,39.50381679389312,245.8578726509761,1030000.0,True
2026-01-23,DRCT,57.184750733137825,2026-01-23T08:09:00-05:00,2026-01-23T08:11:00-05:00,3,5.44,135.49783549783552,3.741349412287661,1440000.0,True
2026-01-23,GIBO,39.444444444444436,2026-01-23T08:07:00-05:00,2026-01-23T08:08:00-05:00,2,1.79,1.1299435028248705,275.08683925499605,3630000.0,True
2026-01-23,MOVE,35.418359057676696,2026-01-23T08:09:00-05:00,2026-01-23T08:09:00-05:00,1,20.35,191.9655667144907,,830000.0,True
2026-01-23,YDDL,32.6153846153846,2026-01-23T08:08:00-05:00,2026-01-23T08:08:00-05:00,1,6.84,-2.9787234042553234,32.972329696525165,54000000.0,False
2026-01-26,BATL,117.85714285714283,2026-01-26T08:13:00-05:00,2026-01-26T08:13:00-05:00,1,6.54,410.9375,71497.12975027144,16460000.0,True
2026-01-26,NVVE,109.1269841269841,2026-01-26T09:00:00-05:00,2026-01-26T09:01:00-05:00,2,2.8502,15.861788617886186,16.81896350054764,1300000.0,True
2026-01-26,EVTV,70.95939714317849,2026-01-26T08:14:00-05:00,2026-01-26T08:20:00-05:00,7,2.8499,46.9020618556701,1.4087326291463769,4830000.0,True
2026-01-26,UONE,64.33915211970076,2026-01-26T04:05:00-05:00,2026-01-26T04:06:00-05:00,2,9.99,-8.432630614115489,31.368948247078464,4500000.0,True
2026-01-26,SPHL,45.62899786780383,2026-01-26T07:00:00-05:00,2026-01-26T07:01:00-05:00,2,5.9,-2.960526315789469,0.0756037147338668,1650000.0,True
2026-01-27,HIND,86.56716417910448,2026-01-27T08:00:00-05:00,2026-01-27T08:01:00-05:00,2,3.64,17.041800643086823,,5640000.0,True
2026-01-27,JZXN,58.72093023255813,2026-01-27T07:18:00-05:00,2026-01-27T07:18:00-05:00,1,1.63,-4.678362573099415,,1390000.0,True
2026-01-27,IVF,48.091603053435094,2026-01-27T08:34:00-05:00,2026-01-27T08:40:00-05:00,7,1.94,60.33057851239669,2.23166791962408,2390000.0,True
2026-01-27,BNRG,47.57834757834758,2026-01-27T08:14:00-05:00,2026-01-27T08:14:00-05:00,1,3.31,-7.799442896935926,0.12464969203810415,720000.0,True
2026-01-27,PHGE,45.3560371517028,2026-01-27T08:14:00-05:00,2026-01-27T08:14:00-05:00,1,5.93,44.634146341463406,16806.08,1530000.0,True
2026-01-28,GOAI,159.86525505293548,2026-01-28T04:38:00-05:00,2026-01-28T04:43:00-05:00,6,17.83,,,870000.0,True
2026-01-28,GRI,115.91397849462362,2026-01-28T08:45:00-05:00,2026-01-28T08:46:00-05:00,2,6.1997,16.535714285714278,2.324071958847263,1450000.0,True
2026-01-28,SLGB,53.79601990049751,2026-01-28T09:30:00-05:00,2026-01-28T09:40:00-05:00,11,2.07,2.9850746268656803,0.012261423658798091,,
2026-01-28,AIMD,46.875,2026-01-28T04:00:00-05:00,2026-01-28T04:00:00-05:00,1,2.04,18.60465116279071,,6980000.0,True
2026-01-28,RGNX,45.84294002209091,2026-01-28T08:12:00-05:00,2026-01-28T08:12:00-05:00,1,9.55,-28.784489187173744,37.29925823244016,50620000.0,False
2026-01-29,ZSTK,119.14285714285717,2026-01-29T04:07:00-05:00,2026-01-29T04:11:00-05:00,5,12.56,40.33519553072627,2272.8391304347824,2410000.0,True
2026-01-29,GCTK,61.00278551532035,2026-01-29T08:01:00-05:00,2026-01-29T08:05:00-05:00,5,3.44,0.8797653958944274,16.344482036098142,910000.0,True
2026-01-29,XHLD,56.98924731182795,2026-01-29T08:26:00-05:00,2026-01-29T08:30:00-05:00,5,4.29,68.23529411764709,174.97786254895198,2990000.0,True
2026-01-29,SGMT,38.21292775665399,2026-01-29T08:08:00-05:00,2026-01-29T08:10:00-05:00,3,5.71,-2.476515798462864,438.31084022638225,32520000.0,False
2026-01-29,CNEY,35.52631578947369,2026-01-29T05:30:00-05:00,2026-01-29T05:31:00-05:00,2,0.92,12.428204814860067,43.50911551705993,5620000.0,True
2026-01-30,PMN,68.94609814963798,2026-01-30T08:00:00-05:00,2026-01-30T08:00:00-05:00,1,18.67,55.518533944189926,,2150000.0,True
2026-01-30,JZXN,60.71123268934859,2026-01-30T08:07:00-05:00,2026-01-30T08:10:00-05:00,4,1.23,-14.583333333333325,0.7903923060582779,1390000.0,True
2026-01-30,LRHC,43.35378323108385,2026-01-30T07:31:00-05:00,2026-01-30T07:32:00-05:00,2,4.5,50.50167224080266,3.4173938778360915,540000.0,True
2026-01-30,PZG,42.77456647398845,2026-01-30T09:30:00-05:00,2026-01-30T09:34:00-05:00,5,1.72,-0.5780346820809301,,78340000.0,False
2026-01-30,MGLD,36.29032258064515,2026-01-30T08:10:00-05:00,2026-01-30T08:10:00-05:00,1,1.15,16.39676113360322,,42810000.0,False
