trade_date,symbol,run_start_time_et,run_end_time_et,run_minutes,run_gain_pct,pre_time_et,pre_open,pre_high,pre_low,pre_close,pre_volume,pre_trade_count,pre_vwap,pre_rel_vol_30d,pre_range_pct,pre_body_pct,pre_return_pct,pre_range_total_pct,pre_volume_sum,pre_green_frac,last5_return_pct,last5_volume_sum,last5_green_frac,last5_range_pct,pre_vol_4_8,pre_trend_pct,pre_range_pct_4_8
2026-01-02,BNAI,2026-01-02T10:16:00-05:00,2026-01-02T10:18:00-05:00,3,5.640973424294882,2026-01-02T10:15:00-05:00,3.9399,3.95,3.85,3.9265,490457,2741,3.899659,3.6072799857506204,2.5381354856722274,-0.3401101550800858,63.604166666666664,73.75,22231938,0.3482142857142857,4.9613729316474675,4698515,0.4,9.890668021064442,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BNAI,2026-01-02T10:29:00-05:00,2026-01-02T10:29:00-05:00,1,5.287077715497657,2026-01-02T10:28:00-05:00,4.0181,4.0316,3.945,3.9691,579883,3331,3.986819,4.419652638314021,2.1552475050397013,-1.219481844652933,65.37916666666668,80.41666666666669,31189968,0.352,2.3808295501444476,2122531,0.2,5.674783326454813,13124.0,-1.2499999999999956,7.916666666666665
2026-01-02,BTOG,2026-01-02T08:02:00-05:00,2026-01-02T08:02:00-05:00,1,7.267441860465129,2026-01-02T08:01:00-05:00,0.1898,0.1899,0.1668,0.1845,11428,25,0.180263,1.5831150147036417,12.17070600632245,-2.7924130663856688,-2.484143763213531,12.209302325581401,65229,0.17391304347826086,-0.8064516129032251,33872,0.0,12.419354838709683,44173.0,-5.813953488372103,6.606765327695566
2026-01-02,BUUU,2026-01-02T10:46:00-05:00,2026-01-02T10:48:00-05:00,3,7.100391134289441,2026-01-02T10:45:00-05:00,7.675,7.6953,7.2101,7.24,1489,11,7.591156,0.4068300173587929,6.321824104234526,-5.667752442996737,11.384615384615394,23.004615384615377,12187,0.13636363636363635,3.4285714285714253,2648,0.0,9.932857142857136,,,
2026-01-02,BUUU,2026-01-02T10:46:00-05:00,2026-01-02T10:49:00-05:00,4,14.211212516297266,2026-01-02T10:45:00-05:00,7.675,7.6953,7.2101,7.24,1489,11,7.591156,0.4068300173587929,6.321824104234526,-5.667752442996737,11.384615384615394,23.004615384615377,12187,0.13636363636363635,3.4285714285714253,2648,0.0,9.932857142857136,,,
2026-01-02,BUUU,2026-01-02T11:28:00-05:00,2026-01-02T11:29:00-05:00,2,6.191571983316546,2026-01-02T11:27:00-05:00,7.2,7.217,6.9501,6.9525,6234,116,7.085425,,3.70694444444444,-3.4375000000000067,6.9615384615384635,58.30769230769231,346579,0.32558139534883723,-5.6648575305291775,33679,0.2,8.691994572591588,,,
2026-01-02,BUUU,2026-01-02T11:28:00-05:00,2026-01-02T11:30:00-05:00,3,5.709765568819214,2026-01-02T11:27:00-05:00,7.2,7.217,6.9501,6.9525,6234,116,7.085425,,3.70694444444444,-3.4375000000000067,6.9615384615384635,58.30769230769231,346579,0.32558139534883723,-5.6648575305291775,33679,0.2,8.691994572591588,,,
2026-01-02,CETX,2026-01-02T06:59:00-05:00,2026-01-02T07:06:00-05:00,8,5.7347670250896154,2026-01-02T06:58:00-05:00,2.78,2.78,2.78,2.78,100,1,2.78,,0.0,0.0,-7.641196013289031,7.973421926910292,84251,0.0945945945945946,0.0,3898,0.0,0.0,159646.0,-5.647840531561455,7.973421926910292
2026-01-02,COHN,2026-01-02T09:32:00-05:00,2026-01-02T09:34:00-05:00,3,5.307497893850055,2026-01-02T09:31:00-05:00,23.52,23.72,23.3,23.52,2195,12,23.409495,1.0034314235208486,1.785714285714278,0.0,-1.3008812421317573,2.2240872849349462,4825,0.3333333333333333,-1.3008812421317573,4825,0.3333333333333333,2.2240872849349462,100.0,0.0,0.0
2026-01-02,CRCA,2026-01-02T10:32:00-05:00,2026-01-02T10:37:00-05:00,6,5.030469590154141,2026-01-02T10:31:00-05:00,4.195,4.2,4.185,4.185,14865,28,4.190239,0.8018189768167692,0.3575685339690242,-0.23837902264602323,1.3317191283293006,7.246973365617427,3519391,0.25416666666666665,0.13638647620415334,188065,0.4,1.4356471179384227,260129.0,1.4527845036319764,2.4213075060532603
2026-01-02,CRMLW,2026-01-02T11:15:00-05:00,2026-01-02T11:15:00-05:00,1,5.747126436781613,2026-01-02T11:14:00-05:00,3.42,3.42,3.42,3.42,100,1,3.42,0.3401913845336504,0.0,0.0,29.0566037735849,31.698113207547184,26894,0.08695652173913043,5.555555555555536,2503,0.2,7.716049382716049,,,
2026-01-02,DBGI,2026-01-02T09:48:00-05:00,2026-01-02T09:50:00-05:00,3,5.56168268473296,2026-01-02T09:47:00-05:00,13.5999,13.5999,13.3094,13.364,2252,6,13.457132,3.673462783171521,2.136045117978807,-1.7345715777321826,5.8115597783056305,8.788598574821847,56755,0.34782608695652173,-0.9340252038547048,11671,0.2,2.344699777613047,949.0,1.3460015835312644,1.3460015835312742
2026-01-02,DBGI,2026-01-02T09:48:00-05:00,2026-01-02T09:51:00-05:00,4,6.4679976291761365,2026-01-02T09:47:00-05:00,13.5999,13.5999,13.3094,13.364,2252,6,13.457132,3.673462783171521,2.136045117978807,-1.7345715777321826,5.8115597783056305,8.788598574821847,56755,0.34782608695652173,-0.9340252038547048,11671,0.2,2.344699777613047,949.0,1.3460015835312644,1.3460015835312742
2026-01-02,DRMA,2026-01-02T10:31:00-05:00,2026-01-02T10:33:00-05:00,3,5.200945626477549,2026-01-02T10:30:00-05:00,2.518,2.54,2.5001,2.5001,1249,9,2.516686,0.02423691520223051,1.584590945194592,-0.7108816521048286,10.623893805309748,19.02654867256638,151511,0.25301204819277107,2.463114754098372,17688,0.6,4.9180327868852505,2847.0,0.4424778761062065,3.9823008849557464
2026-01-02,EKSO,2026-01-02T09:52:00-05:00,2026-01-02T09:57:00-05:00,6,6.543209876543221,2026-01-02T09:51:00-05:00,8.135,8.135,8.1001,8.106,8688,31,8.104062,0.04450903642205777,0.4290104486785541,-0.35648432698217475,-2.219541616405296,17.97346200241255,309818,0.21359223300970873,-0.765134357593189,27245,0.4,2.4472057293260856,27802.0,6.755126658624855,16.164053075995174
2026-01-02,EKSO,2026-01-02T09:52:00-05:00,2026-01-02T09:58:00-05:00,7,5.432098765432092,2026-01-02T09:51:00-05:00,8.135,8.135,8.1001,8.106,8688,31,8.104062,0.04450903642205777,0.4290104486785541,-0.35648432698217475,-2.219541616405296,17.97346200241255,309818,0.21359223300970873,-0.765134357593189,27245,0.4,2.4472057293260856,27802.0,6.755126658624855,16.164053075995174
2026-01-02,EKSO,2026-01-02T09:52:00-05:00,2026-01-02T09:59:00-05:00,8,6.296296296296289,2026-01-02T09:51:00-05:00,8.135,8.135,8.1001,8.106,8688,31,8.104062,0.04450903642205777,0.4290104486785541,-0.35648432698217475,-2.219541616405296,17.97346200241255,309818,0.21359223300970873,-0.765134357593189,27245,0.4,2.4472057293260856,27802.0,6.755126658624855,16.164053075995174
2026-01-02,ELAB,2026-01-02T11:31:00-05:00,2026-01-02T11:31:00-05:00,1,5.263157894736836,2026-01-02T11:30:00-05:00,1.525,1.5299,1.4401,1.49,94913,233,1.490151,0.09576028112628225,5.888524590163941,-2.2950819672131098,-4.487179487179493,8.326923076923084,156806,0.13114754098360656,-3.2279015392609023,106322,0.0,6.468792621939347,3850.0,-6.410256410256421,6.410256410256415
2026-01-02,ELVA,2026-01-02T09:30:00-05:00,2026-01-02T09:31:00-05:00,2,5.063291139240511,2026-01-02T09:29:00-05:00,7.9,7.9,7.9,7.9,378,13,7.9,12.252,0.0,0.0,0.0,3.9240506329113987,6126,0.42857142857142855,0.6728514629422033,5133,0.4,3.950453665001535,993.0,-0.6329113924050778,0.7594936708860822
2026-01-02,ELVA,2026-01-02T09:30:00-05:00,2026-01-02T09:32:00-05:00,3,6.835443037974676,2026-01-02T09:29:00-05:00,7.9,7.9,7.9,7.9,378,13,7.9,12.252,0.0,0.0,0.0,3.9240506329113987,6126,0.42857142857142855,0.6728514629422033,5133,0.4,3.950453665001535,993.0,-0.6329113924050778,0.7594936708860822
2026-01-02,EPSM,2026-01-02T09:30:00-05:00,2026-01-02T09:30:00-05:00,1,5.896551724137944,2026-01-02T09:29:00-05:00,2.09,2.09,2.09,2.09,1199,7,2.09,,0.0,0.0,3.4653465346534684,3.4653465346534573,2487,0.25,3.4653465346534684,2487,0.25,3.4653465346534573,342.0,1.4851485148514865,1.4851485148514756
2026-01-02,FLYE,2026-01-02T09:46:00-05:00,2026-01-02T09:47:00-05:00,2,5.343511450381677,2026-01-02T09:45:00-05:00,6.66,6.66,6.55,6.55,255,8,6.605,0.009699366984263633,1.6516516516516564,-1.6516516516516564,2.34375,13.281250000000009,10786,0.25,1.393188854489158,2046,0.4,4.643962848297211,394.0,0.0,0.0
2026-01-02,GOVX,2026-01-02T10:22:00-05:00,2026-01-02T10:23:00-05:00,2,7.81671159029651,2026-01-02T10:21:00-05:00,0.1855,0.1859,0.1855,0.1855,2100,3,0.185835,0.2913565224432289,0.21563342318059917,0.0,-2.1624472573839593,11.392405063291129,533893,0.24489795918367346,0.9249183895538637,13560,0.4,1.1969532100108855,1439.0,-6.645569620253166,7.3839662447257455
2026-01-02,GOVX,2026-01-02T10:22:00-05:00,2026-01-02T10:24:00-05:00,3,9.811320754716979,2026-01-02T10:21:00-05:00,0.1855,0.1859,0.1855,0.1855,2100,3,0.185835,0.2913565224432289,0.21563342318059917,0.0,-2.1624472573839593,11.392405063291129,533893,0.24489795918367346,0.9249183895538637,13560,0.4,1.1969532100108855,1439.0,-6.645569620253166,7.3839662447257455
2026-01-02,GOVX,2026-01-02T10:22:00-05:00,2026-01-02T10:25:00-05:00,4,12.29110512129381,2026-01-02T10:21:00-05:00,0.1855,0.1859,0.1855,0.1855,2100,3,0.185835,0.2913565224432289,0.21563342318059917,0.0,-2.1624472573839593,11.392405063291129,533893,0.24489795918367346,0.9249183895538637,13560,0.4,1.1969532100108855,1439.0,-6.645569620253166,7.3839662447257455
2026-01-02,GVH,2026-01-02T09:44:00-05:00,2026-01-02T09:44:00-05:00,1,5.263157894736836,2026-01-02T09:43:00-05:00,1.365,1.37,1.31,1.345,5731,48,1.348544,1.9930251905738499,4.3956043956043995,-1.4652014652014667,-16.975308641975317,32.098765432098766,206023,0.09574468085106383,-4.6099290780141855,20484,0.0,7.092198581560274,37195.0,-6.172839506172845,13.580246913580243
2026-01-02,HCTI,2026-01-02T08:00:00-05:00,2026-01-02T08:00:00-05:00,1,6.793650793650796,2026-01-02T07:59:00-05:00,0.66,0.66,0.66,0.66,1000,1,0.66,,0.0,0.0,1.5072285450630662,13.534297139341753,62877,0.19230769230769232,1.1029411764705843,3007,0.2,1.562499999999998,62877.0,1.5072285450630662,13.534297139341753
2026-01-02,HCTI,2026-01-02T10:41:00-05:00,2026-01-02T10:46:00-05:00,6,5.2077944473185145,2026-01-02T10:40:00-05:00,0.58,0.58,0.5777,0.58,4105,11,0.579454,1.9542292214376455,0.39655172413792567,0.0,-10.796677945247623,20.255306059673952,521655,0.22641509433962265,1.3986013986013957,17029,0.4,1.3986013986014,62877.0,1.5072285450630662,13.534297139341753
2026-01-02,IMSRW,2026-01-02T10:26:00-05:00,2026-01-02T10:26:00-05:00,1,5.286343612334798,2026-01-02T10:25:00-05:00,2.36,2.36,2.3,2.3,3300,11,2.337188,0.511804692639427,2.5423728813559343,-2.5423728813559343,-2.5423728813559365,14.406779661016945,10503,0.0,-8.366533864541836,5196,0.0,8.366533864541832,,,
2026-01-02,INBS,2026-01-02T11:04:00-05:00,2026-01-02T11:06:00-05:00,3,5.08688476846908,2026-01-02T11:03:00-05:00,8.39,8.39,8.3,8.3,4024,42,8.338601,0.17722586454259182,1.0727056019070305,-1.0727056019070305,-3.0373831775700855,20.79439252336449,1130439,0.2671009771986971,0.0,25463,0.4,1.9277108433734955,154261.0,-8.878504672897202,16.822429906542062
2026-01-02,INBS,2026-01-02T11:04:00-05:00,2026-01-02T11:07:00-05:00,4,7.1497912823997645,2026-01-02T11:03:00-05:00,8.39,8.39,8.3,8.3,4024,42,8.338601,0.17722586454259182,1.0727056019070305,-1.0727056019070305,-3.0373831775700855,20.79439252336449,1130439,0.2671009771986971,0.0,25463,0.4,1.9277108433734955,154261.0,-8.878504672897202,16.822429906542062
2026-01-02,IPSC,2026-01-02T11:25:00-05:00,2026-01-02T11:27:00-05:00,3,6.4408602150537675,2026-01-02T11:24:00-05:00,0.9467,0.9467,0.93,0.93,26882,11,0.945518,0.9842309606356956,1.7640223935776842,-1.7640223935776842,-4.927417705990589,14.680024534859953,752038,0.18556701030927836,-2.5872001675919076,96830,0.4,5.090604378338743,100.0,0.0,0.0
2026-01-02,IRE,2026-01-02T09:43:00-05:00,2026-01-02T09:48:00-05:00,6,5.704093988284198,2026-01-02T09:42:00-05:00,6.13,6.14,6.1,6.105,112495,366,6.12006,0.9974911450370169,0.652528548123981,-0.4078303425774791,-3.2488114104595733,7.434231378763869,2718569,0.21212121212121213,0.909090909090926,556749,0.6,2.066115702479339,511166.0,1.109350237717921,3.1695721077654544
2026-01-02,IRWD,2026-01-02T07:25:00-05:00,2026-01-02T07:26:00-05:00,2,6.994818652849744,2026-01-02T07:24:00-05:00,3.88,3.9,3.84,3.865,5512,62,3.870115,,1.546391752577321,-0.3865979381443217,14.688427299703278,25.222551928783382,251973,0.47058823529411764,1.7105263157894735,47756,0.4,7.368421052631574,4141006.0,31.15727002967359,41.24629080118696
2026-01-02,IRWD,2026-01-02T07:40:00-05:00,2026-01-02T07:40:00-05:00,1,8.020050125313261,2026-01-02T07:39:00-05:00,4.02,4.02,3.97,3.98,12508,138,3.986413,,1.2437810945273478,-0.9950248756218805,18.100890207715125,35.31157270029674,1940771,0.46875,-2.211302211302224,254613,0.4,4.668304668304655,4141006.0,31.15727002967359,41.24629080118696
2026-01-02,IRWD,2026-01-02T09:32:00-05:00,2026-01-02T09:32:00-05:00,1,8.68906514570893,2026-01-02T09:31:00-05:00,4.55,4.56,4.45,4.4986,413011,1962,4.500758,404.2164986171641,2.417582417582405,-1.129670329670332,33.48961424332344,51.92878338278931,18174362,0.5,-4.285106382978732,1950732,0.0,5.957446808510643,4141006.0,31.15727002967359,41.24629080118696
